adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
Gl. Strandvej 17,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gl. Strandvej,17,,660,False,False,False,3bf67940-9205-42a1-b0df-d9faab8a35f2,False
Gramrolighed 1,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,1,,240,True,False,False,04a37344-6917-4d41-9833-b7f8fc9450a9,False
Gramrolighed 2,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gramrolighed,2,,660,True,False,False,6b9f5b48-99d1-43b2-a026-7ce1910c12f9,False
Gramrolighed 2,6000,Kolding,1,"400 l. con, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gramrolighed,2,,400,True,False,False,d58a1166-eb5a-4993-bb88-920100258309,False
Gramrolighed 2,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gramrolighed,2,,660,True,False,False,cf6d168d-fd92-4f30-a5b4-bac436147aee,False
Gramrolighed 3,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,3,,240,False,False,False,d4a82e0c-cd9b-4bd3-93d9-8665e7d7ff92,False
Gramrolighed 5,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,5,,130,True,False,True,955a1b81-0a74-4b09-a028-002e260296bf,False
Gramrolighed 5,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,5,,90,True,False,True,4c8a39fc-9909-448b-b279-66ac16eedd3a,False
Gramrolighed 7,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,7,,370,True,False,False,57280423-ba28-4367-bf3f-4efae9b60fb4,False
Gramrolighed 9,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,9,,240,False,False,False,5e9e4e86-bc24-401b-b0cb-1a0cec1579bc,False
